Ranking,Movie Title,Movie Link,Poster Img Link,Released_Year,Duration,Certificate,IMDB Rating
41, The Departed,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_41,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_QL75_UY207_CR0,0,140,207_.jpg",2006,2h 31m,R,8.5
42, Whiplash,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",2014,1h 46m,R,8.5
43, The Prestige,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_43,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_QL75_UX140_CR0,0,140,207_.jpg",2006,2h 10m,PG-13,8.5
44, The Usual Suspects,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_44,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,1,140,207_.jpg",1995,1h 46m,R,8.5
45, Grave of the Fireflies,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_45,"https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,1,140,207_.jpg",1988,1h 29m,Not Rated,8.5
46, Casablanca,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_46,"https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UX140_CR0,2,140,207_.jpg",1942,1h 42m,PG,8.5
47, Harakiri,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_47,"https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY207_CR6,0,140,207_.jpg",1962,2h 13m,Not Rated,8.6
48, The Intouchables,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",2011,1h 52m,R,8.5
49, Modern Times,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_49,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,5,140,207_.jpg",1936,1h 27m,G,8.5
50, Cinema Paradiso,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_50,"https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_QL75_UX140_CR0,0,140,207_.jpg",1988,2h 35m,PG,8.5
